country,no_players
Malaysia,17
Algeria,10
Kuwait,15
Poland,16
Hungary,15
Czechia,38
New Zealand,21
Philippines,14
Indonesia,15
Romania,20
Chile,20
France,84
Spain,81
Latvia,16
Argentina,62
Pakistan,11
Lithuania,13
United Kingdom,39
Uruguay,18
Bosnia and Herz.,7
Colombia,21
Mexico,27
Kazakhstan,14
Italy,56
Russia,42
Australia,70
Puerto Rico,12
United States of America,132
Bulgaria,18
Netherlands (Antilles),15
Belarus,18
Austria,32
Germany,75
Switzerland,21
Ukraine,19
Brazil,36
Greenland,13
Benin,6
Liberia,19
Slovenia,21
Estonia,14
Turkey,13
Peru,23
Israel,16
Egypt,14
Portugal,20
Sweden,41
Moldova,14
Slovakia,17
Iran,11
Croatia,30
Madagascar,6
Belgium,20
India,27
Paraguay,20
Morocco,17
Ireland,16
China,23
El Salvador,14
Mongolia,8
Denmark,21
Zimbabwe,12
Haiti,9
Taiwan,18
Serbia,19
Hong Kong,18
Syria,8
Canada,19
Norway,19
Ecuador,17
Guatemala,16
Côte d'Ivoire,7
South Africa,24
Jamaica,10
Thailand,16
Guam,1
Venezuela,18
Barbados,6
Uzbekistan,11
Netherlands,28
Bahamas,13
Macedonia,6
Sri Lanka,5
South Korea,29
Cuba,9
Ghana,6
Bolivia,11
Dominican Rep.,19
Luxembourg,14
Japan,25
Montenegro,2
Tunisia,9
Finland,16
Georgia,12
Andorra,4
Costa Rica,8
Samoa,1
Oman,3
Vietnam,7
Cyprus,15
Solomon Is.,1
Armenia,6
Tajikistan,4
Marshall Islands,1
Nigeria,4
Qatar,7
Vanuatu,2
Cook Islands,1
Azerbaijan,1
Trinidad and Tobago,4
Togo,1
United Arab Emirates,2
